pipeline,contract_id,filename,true_type,pattern_group,explanation,prob_score,uses_tx_origin,has_fallback,fallback_reverts_non_owner,require_count,has_selfdestruct,has_withdrawal_function,withdrawal_owner_only,uses_inline_assembly,state_changes_before_external_calls,payable_to_withdraw_ratio
LLM-B,0x6ce3fef99a6a4a8d1cc55d980966459854b3b021,hp_076.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple gift card implementation, but it has some security vulnerabilities, such as the use of tx.origin and lack of input validation. However, it does not exhibit any of t""",6.0,True,True,False,0,False,False,False,False,0,4.0
LLM-B,0x783cf9c6754bf826f1727620b4baa19714fedf8d,hp_270.sol,uninitialised_struct,LLM false negative — uninitialised_struct,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple Ether mixer with a creator fee. The contract allows anyone to make a transfer as long as the sent value is greater than 1 Ether. The creator fee is sent to the cont""",2.0,True,True,False,1,False,False,False,False,3,2.0
LLM-B,0x85044611b5954739dbde0ccb9aae6bb18e38e38b,hp_086.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where players can submit answers to win the contract's balance. While there are some suspicious patterns, such as the use of an older Solidity version and""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0x8685631276cfcf17a973d92f6dc11645e5158c0c,hp_272.sol,uninitialised_struct,LLM false negative — uninitialised_struct,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where players can guess a number and win the contract balance if they guess correctly. Although there are some suspicious patterns, such as the hardcoded secre""",6.0,False,True,False,1,True,False,False,False,2,2.0
LLM-B,0x8a36f3e0da7b36fd22fcf2844c21e812279372ac,hp_088.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where users can guess an answer to a question and win the contract's balance if they answer correctly. While there are some conditions that must be met to""",6.0,False,True,False,0,False,False,False,False,0,5.0
LLM-B,0x96830139e44251ddbe3d1c4c4110262b47cf6d34,hp_273.sol,uninitialised_struct,LLM false negative — uninitialised_struct,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a legitimate game of chance, where players can win the contract balance by guessing a randomly generated number. The contract's logic is straightforward, and there are no ob""",2.0,False,True,False,1,True,False,False,False,2,2.0
LLM-B,0x96fa4b2bebbbc9ffdb7d64ed18058de27680752c,hp_095.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a legitimate game where users can answer questions and win Ether. The contract has a clear mechanism for starting and stopping the game, and users can withdraw their winning""",6.0,False,True,False,0,False,False,False,False,0,5.0
LLM-B,0x99bab102c0a03438bcfd70119f07ee646db26ddf,hp_096.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple gift card implementation, where the owner can set a password and unlock time, and the recipient can claim the funds after the unlock time by providing the correct p""",6.0,True,True,False,0,False,False,False,False,0,4.0
LLM-B,0xa0f9e5283fbf6d735e1e3a0f724ea6cccc13c27a,hp_098.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where players can submit answers to a question and win the contract's balance if their answer matches the hashed response. While there are some suspicious patt""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xa379eda47d90fb4bc2dfa54556421ff0f198ca47,hp_099.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple guessing game where players can submit answers and win the contract's balance if their answer matches the expected hash. While there are some suspicious patterns, s""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xa395480a4a90c7066c8ddb5db83e2718e750641c,hp_212.sol,skip_empty_string_literal,LLM false negative — skip_empty_string_literal,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract does not exhibit any of the classic honeypot deception types, but it does have a reentrancy vulnerability in the loggedTransfer function and only allows the owner to withdraw funds. The c""",6.0,False,False,False,0,False,True,False,False,0,2.0
LLM-B,0xa48a36d94024f861b453267468b9096e4a3eb8be,hp_100.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where players can submit answers and win the contract's balance if their answer is correct. The contract does not exhibit any obvious honeypot characteris""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xa630823bd70ab8e8e2d6e62089d3837db1887bf6,hp_101.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where players can submit answers to a question and win the contract's balance if their answer matches the expected response. While there are some suspicious pa""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xa9aebbf67433e3e8206af6fc2ddd99ff8e7cc137,hp_102.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple guessing game where users can try to guess a response to a question. While there are some suspicious patterns, such as the use of an outdated Solidity version and a""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xabcdd0dbc5ba15804f5de963bd60491e48c3ef0b,hp_105.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a legitimate investment platform, allowing users to invest and withdraw funds based on a calculated return value. The contract's logic is transparent, and there are no obvio""",2.0,False,True,False,0,False,True,False,False,0,3.0
LLM-B,0xacfc9577583ded00ae53ae79a0346cca4655c0bb,hp_106.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where players can submit answers and win the contract's balance if their answer is correct. However, the contract has some security vulnerabilities, such """,6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xad1aa68300588aa5842751ddcab2afd4a69e9016,hp_274.sol,uninitialised_struct,LLM false negative — uninitialised_struct,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple anonymous transfer contract, with a fee paid to the creator for each transfer. While there are some suspicious patterns, such as the use of tx.origin and a hardcode""",6.0,True,True,False,1,False,False,False,False,0,2.0
LLM-B,0xadccea0b14d26d786b99cf3ba3e9812cd4d23a81,hp_275.sol,uninitialised_struct,LLM false negative — uninitialised_struct,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a legitimate game of chance, where players can win the contract balance by guessing a randomly generated number. The contract's logic is straightforward, and there are no ob""",2.0,False,True,False,1,True,False,False,False,2,2.0
LLM-B,0xb19117892e2b2aaa418e75f61d7d1c05f86b66bd,hp_112.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where players can submit answers and win the contract's balance if their answer is correct. The contract does not exhibit any obvious honeypot characteris""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xb1f4ca3c6256f415e420de511504af8ea8a9c8e0,hp_276.sol,uninitialised_struct,LLM false negative — uninitialised_struct,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a legitimate game of chance, where players can win the contract balance by guessing a randomly generated number. The contract's logic is straightforward, and there are no ob""",2.0,False,True,False,1,True,False,False,False,2,2.0
LLM-B,0xb49b1dddf1b3d6e878fd9b73874da7ab0da7e004,hp_114.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple gift box where the sender sets a password and a message, and the recipient can claim the gift by providing the correct password. The contract does not contain any o""",6.0,False,True,False,0,False,False,False,False,0,4.0
LLM-B,0xb4c05e6e4cdb07c15095300d96a5735046eef999,hp_234.sol,straw_man,LLM false negative — straw_man,"LLM missed this straw_man honeypot. Owner-only function appears to allow external withdrawals but is gated. LLM's own reasoning: ""The contract delegates logging operations to an external Log contract at a hardcoded address, which can be controlled by the deployer to trap victim funds. The Log contract's AddMessage function can b""",8.0,False,True,False,0,False,True,False,False,0,2.0
LLM-B,0xb5c424cd005cd1ccc155654b551c4453346e0718,hp_115.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where players can submit answers and win the contract's balance if their answer matches the expected response. While there are some suspicious patterns, s""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,hp_236.sol,straw_man,LLM false negative — straw_man,"LLM missed this straw_man honeypot. Owner-only function appears to allow external withdrawals but is gated. LLM's own reasoning: ""The contract uses an external Log contract at a hardcoded address, which can be controlled by the deployer to manipulate the withdrawal. The CashOut function also uses the transfer function with a cal""",8.0,False,True,False,0,False,True,False,False,0,2.0
LLM-B,0xbae339b730cb3a58eff2f2f2fa4af579332c3e1c,hp_119.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple roulette game where a player can win the contract's balance by guessing a number. The contract has some suspicious patterns, such as using an outdated Solidity vers""",6.0,True,True,False,2,True,False,False,False,0,4.0
LLM-B,0xbb51397fb8d3b91a08eff3c34d5c869c1d149ec5,hp_120.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where players can guess a word and win the contract's balance if they guess correctly and send more than 1 ether. The contract does not exhibit any obvious hon""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xbc272b58e7cd0a6002c95afd1f208898d756c580,hp_121.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple gift-giving contract where the sender sets the recipient and unlock time, and the recipient can claim the gift after the unlock time. While there are some suspiciou""",6.0,False,True,False,0,False,False,False,False,0,3.0
LLM-B,0xc034cf94f7ced9c968cc75210d1b5ddaccacfbf4,hp_124.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where users can play by sending a response to a question. The contract has some outdated features, but it does not exhibit any of the typical honeypot deceptio""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xc5ce9c06a0caf0e4cbd90572b6550feafd69b740,hp_128.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple gift contract where the sender sets a recipient and an unlock time, and the recipient can claim the gift after the unlock time. While there are some suspicious patt""",6.0,False,True,False,0,False,False,False,False,0,3.0
LLM-B,0xcaa7b8aa3bc78dda98af8fee1390f34e756a5f55,hp_133.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where players can submit answers and win the contract's balance if their answer matches the expected response hash. While there are some suspicious patter""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xce6b1aff0fe66da643d7a9a64d4747293628d667,hp_135.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where users can play by sending a response to a question, and if the response is correct, they can withdraw the contract's balance. The contract does not exhib""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xcea86636608bacb632dfd1606a0dc1728b625387,hp_136.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where users can play and potentially win Ether by answering a question correctly. While there are some suspicious patterns, such as the use of tx.origin and a """,6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xd022969da8a1ace11e2974b3e7ee476c3f9f99c6,hp_214.sol,skip_empty_string_literal,LLM false negative — skip_empty_string_literal,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a legitimate presale fund contract, allowing investors to invest and divest ether. The owner can withdraw the contract's balance, but non-owners can also divest their invest""",6.0,False,False,False,0,False,True,False,False,0,2.0
LLM-B,0xd87eaad7afb256c69526a490f402a658f12246fd,hp_139.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple roulette game where a player can win the contract's balance by guessing the correct number. The contract has some suspicious patterns, such as using an outdated Sol""",6.0,True,True,False,2,True,False,False,False,0,4.0
LLM-B,0xdda2044b39fdb4db77ac085866179c548e5d0f15,hp_141.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where users can try to answer a question and win the contract's balance if their response matches the hashed response set by the question sender. While th""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xe3d085b7bdf97c6d003abcec2003b9c5b120d616,hp_145.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where players can submit answers to a question and win the contract's balance if their answer matches the expected response. While there are some suspicious pa""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xed55fb58ea9de1f484addcc970463218b4d89cfe,hp_147.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where users can answer a question and win the contract's balance if their answer matches the expected hash. While there are some conditions that must be m""",6.0,False,True,False,0,False,False,False,False,0,5.0
LLM-B,0xefba96262f277cc8073da87e564955666d30a03b,hp_280.sol,uninitialised_struct,LLM false negative — uninitialised_struct,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a legitimate lottery system, where participants can win a jackpot if their address matches a randomly generated lucky number. While there are some suspicious patterns, such """,6.0,False,True,False,3,True,False,False,False,3,2.0
LLM-B,0xf0344800bd3ffa687e4d780357961b28995a5f46,hp_151.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple quiz game where players can play and win by answering correctly. The game starter sets the question and response hash, and players can play by sending more than 1 e""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xf6c61cb3b0add944ac53c9c2decaf2954f0515cb,hp_281.sol,uninitialised_struct,LLM false negative — uninitialised_struct,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a legitimate game of chance, where players can guess a secret number and win the contract balance. While there are some suspicious patterns, such as the use of a hardcoded b""",6.0,False,True,False,1,True,False,False,False,2,2.0
LLM-B,0xfac1c7270bc5b0664e27e7f2e82281d564aedf4e,hp_153.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where users can play by sending a response to a question. The contract allows non-owners to withdraw funds if they provide the correct response and send more t""",6.0,True,True,False,3,False,False,False,False,0,5.0
LLM-B,0xff45211ebdfc7ebcc458e584bcec4eac19d6a624,hp_154.sol,hidden_state,LLM false negative — hidden_state,"LLM missed this none honeypot. . LLM's own reasoning: ""The contract appears to be a simple game where users can play by sending a response to a question, and if the response is correct, they can withdraw the contract's balance. The contract has some suspi""",6.0,True,True,False,3,False,False,False,False,0,5.0
